id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
133,1,1,1,http://e59ff1435c046954.car40.eng.ehall.ttmc.edu.cn,e59ff1435c046954.car40.eng.ehall.ttmc.edu.cn,4,e59ff1435c046954.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,80,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
154,1,1,1,https://e59ff1435c046954.car40.eng.ehall.ttmc.edu.cn,e59ff1435c046954.car40.eng.ehall.ttmc.edu.cn,4,e59ff1435c046954.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,443,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
111,1,1,1,http://e59ff1435c046955.car40.eng.ehall.ttmc.edu.cn,e59ff1435c046955.car40.eng.ehall.ttmc.edu.cn,4,e59ff1435c046955.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,80,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
149,1,1,1,https://e59ff1435c046955.car40.eng.ehall.ttmc.edu.cn,e59ff1435c046955.car40.eng.ehall.ttmc.edu.cn,4,e59ff1435c046955.car40.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,443,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
124,1,1,1,http://e59ff1435c046956.car37.eng.ehall.ttmc.edu.cn,e59ff1435c046956.car37.eng.ehall.ttmc.edu.cn,4,e59ff1435c046956.car37.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,80,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
151,1,1,1,https://e59ff1435c046956.car37.eng.ehall.ttmc.edu.cn,e59ff1435c046956.car37.eng.ehall.ttmc.edu.cn,4,e59ff1435c046956.car37.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,443,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
131,1,1,1,http://e59ff1435c046956.car38.eng.ehall.ttmc.edu.cn,e59ff1435c046956.car38.eng.ehall.ttmc.edu.cn,4,e59ff1435c046956.car38.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,80,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
155,1,1,1,https://e59ff1435c046956.car38.eng.ehall.ttmc.edu.cn,e59ff1435c046956.car38.eng.ehall.ttmc.edu.cn,4,e59ff1435c046956.car38.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,443,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
94,1,1,1,http://e59ff1435c046956.car39.eng.ehall.ttmc.edu.cn,e59ff1435c046956.car39.eng.ehall.ttmc.edu.cn,4,e59ff1435c046956.car39.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,80,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
116,1,1,1,https://e59ff1435c046956.car39.eng.ehall.ttmc.edu.cn,e59ff1435c046956.car39.eng.ehall.ttmc.edu.cn,4,e59ff1435c046956.car39.eng.ehall.ttmc.edu.cn,124.31.216.21,1,1,443,406,Not Acceptable,406 Not Acceptable,openresty,124.31.0.0/16,AS4134,China Telecom,中国西藏拉萨市,电信,Altdns
