id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
67,1,1,1,https://dmse.beihua.edu.cn,dmse.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,材料工程学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
141,1,1,1,http://dmse.beihua.edu.cn,dmse.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,材料工程学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
185,0,0,1,https://dns1.beihua.edu.cn,dns1.beihua.edu.cn,1,dns1.beihua.edu.cn,59.72.128.1,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='dns1.beihua.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000026BB835BEC8>, 'Connection to dns1.beihua.edu.cn timed out. (connect timeout=13)'))""),)",,,59.72.128.0/18,AS4538,China Education and Research Network Center,中国吉林省吉林市,教育网,QueryNS
186,0,0,1,http://dns1.beihua.edu.cn,dns1.beihua.edu.cn,1,dns1.beihua.edu.cn,59.72.128.1,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='dns1.beihua.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000026BB84C7B48>, 'Connection to dns1.beihua.edu.cn timed out. (connect timeout=13)'))""),)",,,59.72.128.0/18,AS4538,China Education and Research Network Center,中国吉林省吉林市,教育网,QueryNS
12,1,1,1,https://dyyjzx.beihua.edu.cn,dyyjzx.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,::东::亚::历::史::与::文::献::研::究::中::心::,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
24,1,1,1,http://dyyjzx.beihua.edu.cn,dyyjzx.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,::东::亚::历::史::与::文::献::研::究::中::心::,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
29,1,1,1,https://econ.beihua.edu.cn,econ.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,北华大学,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
54,1,1,1,http://econ.beihua.edu.cn,econ.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,北华大学,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
66,1,1,1,https://eie.beihua.edu.cn,eie.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,电气与信息工程学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
132,1,1,1,http://eie.beihua.edu.cn,eie.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,电气与信息工程学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
61,1,1,1,http://email.beihua.edu.cn,email.beihua.edu.cn,1,"cmmail.icoremail.net,cmmail.icoremail.net","101.71.145.4,101.71.145.5",11,1,80,200,,北华大学电子邮件系统,cmproxy,"101.64.0.0/13,101.64.0.0/13","AS4837,AS4837","China Unicom,China Unicom","中国浙江省杭州市,中国浙江省杭州市","联通,联通",IP138Query
63,1,1,1,https://email.beihua.edu.cn,email.beihua.edu.cn,1,"cmmail.icoremail.net,cmmail.icoremail.net","101.71.145.4,101.71.145.5",11,1,443,200,,北华大学电子邮件系统,cmproxy,"101.64.0.0/13,101.64.0.0/13","AS4837,AS4837","China Unicom,China Unicom","中国浙江省杭州市,中国浙江省杭州市","联通,联通",IP138Query
142,1,1,1,https://etc.beihua.edu.cn,etc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,工程训练中心,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,RapidDNSQuery
146,1,1,1,http://etc.beihua.edu.cn,etc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,工程训练中心,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,RapidDNSQuery
7,1,1,1,https://foreign.beihua.edu.cn,foreign.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,外国语学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
20,1,1,1,http://foreign.beihua.edu.cn,foreign.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,外国语学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
131,1,1,1,https://fzgh.beihua.edu.cn,fzgh.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,北华大学改革发展专题网,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,RapidDNSQuery
137,1,1,1,http://fzgh.beihua.edu.cn,fzgh.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,北华大学改革发展专题网,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,RapidDNSQuery
37,1,1,1,https://genedu.beihua.edu.cn,genedu.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,国际交流应用系统,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
79,1,1,1,http://genedu.beihua.edu.cn,genedu.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,国际交流应用系统,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
101,1,1,1,https://gh.beihua.edu.cn,gh.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,北华大学工会、妇委会,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,RapidDNSQuery
136,1,1,1,http://gh.beihua.edu.cn,gh.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,北华大学工会、妇委会,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,RapidDNSQuery
32,1,1,1,https://grad.beihua.edu.cn,grad.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,北华大学研究生院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
53,1,1,1,http://grad.beihua.edu.cn,grad.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,北华大学研究生院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
77,1,1,1,https://gw.beihua.edu.cn,gw.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
120,1,1,1,http://gw.beihua.edu.cn,gw.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
83,1,1,1,https://his.beihua.edu.cn,his.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,历史文化学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
145,1,1,1,http://his.beihua.edu.cn,his.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,历史文化学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
84,1,1,1,https://hlxy.beihua.edu.cn,hlxy.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,北华大学护理学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
171,1,1,1,http://hlxy.beihua.edu.cn,hlxy.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,北华大学护理学院,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
80,1,1,1,https://hotel.beihua.edu.cn,hotel.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
